borehole_id,y_position,x_position,depth_from,depth_to,method,mat_recovery,core_recovery,rqd,frac_freq,spt_n,water_level
BH01,-23.404211,30.3027,0.0,1.5,NWD4,37,0,0,0,,1.6
BH01,-23.404211,30.3027,1.5,2.4,NWD4,100,100,16,12,,1.6
BH01,-23.404211,30.3027,2.4,3.9,NWD4,57,57,21,5,,1.6
BH01,-23.404211,30.3027,3.9,5.4,NWD4,100,100,78,6,,1.6
BH01,-23.404211,30.3027,5.4,6.9,NWD4,100,100,42,9,,1.6
BH01,-23.404211,30.3027,6.9,8.37,NWD4,100,100,72,8,,1.6
BH02,-23.404192,30.302639,0.0,1.5,NWD4,87,15,0,1,,3.4
BH02,-23.404192,30.302639,1.5,3.0,NWD4,100,100,46,9,,3.4
BH02,-23.404192,30.302639,3.0,4.5,NWD4,94,94,40,11,,3.4
BH02,-23.404192,30.302639,4.5,5.85,NWD4,100,100,90,6,,3.4
BH02,-23.404192,30.302639,5.85,7.15,NWD4,100,100,83,4,,3.4
BH03,-23.404172,30.302578,0.0,1.5,NWD4,55,32,24,2,,1.3
BH03,-23.404172,30.302578,1.5,3.0,NWD4,100,100,30,8,,1.3
BH03,-23.404172,30.302578,3.0,4.18,NWD4,100,100,81,6,,1.3
BH03,-23.404172,30.302578,4.18,5.61,NWD4,100,100,96,3,,1.3
BH03,-23.404172,30.302578,5.61,7.07,NWD4,100,100,71,3,,1.3
BH04,-23.404153,30.302519,0.0,1.5,NWD4,73,60,43,4,,3.4
BH04,-23.404153,30.302519,1.5,3.0,NWD4,100,100,54,8,,3.4
BH04,-23.404153,30.302519,3.0,4.38,NWD4,100,100,47,9,,3.4
BH04,-23.404153,30.302519,4.38,5.92,NWD4,100,100,40,11,,3.4
BH04,-23.404153,30.302519,5.92,7.42,NWD4,100,100,90,3,,3.4
BH04,-23.404153,30.302519,7.42,9.0,NWD4,100,100,84,3,,3.4
